18.54,22,96.95
18.54,32,94.6
18.54,42,94.32
18.54,52,73.48
18.54,62,73.63
33.85,12,95.41
33.85,27,95.59
33.85,42,89.02
33.85,57,96.3
33.85,72,93.16
45.18,9,96.15
45.18,28,94.22
45.18,47,92.88
45.18,66,90.52
45.18,85,93.07
53.3,12,73.77
53.3,34,95.34
53.3,56,96.73
53.3,78,96.72
53.3,100,93.76
60.79,15,95.02
60.79,35,96.86
60.79,55,98.46
60.79,75,99.83
60.79,95,99.38
69.56,20,96.21
69.56,37,99.09
69.56,54,96.96
69.56,71,97.15
69.56,88,99.67
79.44,35,96.3
79.44,47,99.09
79.44,60,96.72
79.44,72,95.41
79.44,85,94.32
