18.54,22,34.68
18.54,32,73.86
18.54,42,64.29
18.54,52,69.72
18.54,62,88.35
33.85,12,53.9
33.85,27,72.73
33.85,42,68.47
33.85,57,73.54
33.85,72,81.17
45.18,9,94.16
45.18,28,88.64
45.18,47,86.04
45.18,66,93.18
45.18,85,93.89
53.3,12,56.41
53.3,34,75.49
53.3,56,81.17
53.3,78,66.55
53.3,100,47.24
60.79,15,54.38
60.79,35,83.36
60.79,55,87.58
60.79,75,82.63
60.79,95,82.14
69.56,20,79.55
69.56,37,85.8
69.56,54,83.76
69.56,71,85.22
69.56,88,81.49
79.44,35,73.54
79.44,47,87.58
79.44,60,66.55
79.44,72,53.9
79.44,85,64.29
