18.54,22,77.46
18.54,32,77.27
18.54,42,92.42
18.54,52,60.98
18.54,62,61.99
33.85,12,92.67
33.85,27,93.94
33.85,42,86.65
33.85,57,91.98
33.85,72,88.89
45.18,9,93.47
45.18,28,90.06
45.18,47,80.74
45.18,66,89.55
45.18,85,87.09
53.3,12,67.77
53.3,34,91.89
53.3,56,94.22
53.3,78,94.44
53.3,100,89.8
60.79,15,89.36
60.79,35,94.54
60.79,55,97.51
60.79,75,97.32
60.79,95,98.98
69.56,20,96.18
69.56,37,94.63
69.56,54,94
69.56,71,97.63
69.56,88,94.44
79.44,35,91.98
79.44,47,97.51
79.44,60,94.44
79.44,72,92.67
79.44,85,92.42
