18.54,22,49.31
18.54,32,88.35
18.54,42,83.92
18.54,52,33.86
18.54,62,86.14
33.85,12,64.66
33.85,27,76.42
33.85,42,91.36
33.85,57,90.45
33.85,72,96.25
45.18,9,92.95
45.18,28,82.05
45.18,47,96.59
45.18,66,95
45.18,85,81.17
53.3,12,55.97
53.3,34,82.16
53.3,56,84.38
53.3,78,61.36
53.3,100,60.8
60.79,15,67.27
60.79,35,87.56
60.79,55,81,31
60.79,75,92.61
60.79,95,82.1
69.56,20,81.14
69.56,37,90.57
69.56,54,88.58
69.56,71,90.85
69.56,88,86.48
79.44,35,90.45
79.44,47,81,31
79.44,60,61.36
79.44,72,64.66
79.44,85,83.92
