18.54,22,96.99
18.54,32,95.4
18.54,42,93.48
18.54,52,71.46
18.54,62,71.12
33.85,12,94.7
33.85,27,95.26
33.85,42,90.19
33.85,57,95.73
33.85,72,92.45
45.18,9,95.78
45.18,28,93.9
45.18,47,74.04
45.18,66,90.37
45.18,85,93.01
53.3,12,71.87
53.3,34,93.7
53.3,56,96.53
53.3,78,96.14
53.3,100,93.33
60.79,15,94.25
60.79,35,96.57
60.79,55,98.13
60.79,75,99.49
60.79,95,99.68
69.56,20,96.74
69.56,37,98.91
69.56,54,94.08
69.56,71,99.19
69.56,88,99.79
79.44,35,95.73
79.44,47,98.91
79.44,60,96.14
79.44,72,94.7
79.44,85,93.48
