18.54,22,96.71
18.54,32,85.63
18.54,42,92.68
18.54,52,68.94
18.54,62,68.96
33.85,12,96.26
33.85,27,96.7
33.85,42,90.45
33.85,57,95.67
33.85,72,91.64
45.18,9,95.76
45.18,28,92.61
45.18,47,80.49
45.18,66,95.55
45.18,85,91.17
53.3,12,72.43
53.3,34,87.9
53.3,56,95.53
53.3,78,95.83
53.3,100,92.33
60.79,15,94.25
60.79,35,96.88
60.79,55,97.23
60.79,75,99.79
60.79,95,99.5
69.56,20,98.15
69.56,37,97.92
69.56,54,92.92
69.56,71,96.8
69.56,88,99.24
79.44,35,95.67
79.44,47,97.92
79.44,60,95.83
79.44,72,96.26
79.44,85,92.68
