18.54,22,28.98
18.54,32,85.23
18.54,42,76.7
18.54,52,95.73
18.54,62,55.68
33.85,12,65.34
33.85,27,67.05
33.85,42,80.68
33.85,57,71.02
33.85,72,80.47
45.18,9,62.36
45.18,28,71.02
45.18,47,55.4
45.18,66,78.13
45.18,85,90.15
53.3,12,50.28
53.3,34,39.2
53.3,56,80.11
53.3,78,50.29
53.3,100,90.34
60.79,15,91.19
60.79,35,71.03
60.79,55,76.42
60.79,75,74.15
60.79,95,62.5
69.56,20,70.88
69.56,37,77.56
69.56,54,77.2
69.56,71,75.71
69.56,88,72.02
79.44,35,71.02
79.44,47,76.42
79.44,60,50.29
79.44,72,65.34
79.44,85,76.7
