18.54,22,60.9
18.54,32,58.37
18.54,42,83.45
18.54,52,54.04
18.54,62,49.09
33.85,12,67.14
33.85,27,86.36
33.85,42,76.33
33.85,57,91.73
33.85,72,94.27
45.18,9,78.09
45.18,28,84.09
45.18,47,79.23
45.18,66,89.5
45.18,85,76.02
53.3,12,58.82
53.3,34,86.55
53.3,56,85.14
53.3,78,92.82
53.3,100,86
60.79,15,79.77
60.79,35,91.23
60.79,55,81.95
60.79,75,97.09
60.79,95,93.23
69.56,20,92.5
69.56,37,93.27
69.56,54,94.95
69.56,71,95.41
69.56,88,91.27
79.44,35,91.73
79.44,47,81.95
79.44,60,92.82
79.44,72,67.14
79.44,85,83.45
